Name,Team(s),Matches,Wickets,Bowl Avg
K Rabada,"DDV, KXI, GTI",17,29,21.59
B Kumar,"PWI, SUN, RCB",16,28,17.89
J C Archer,"RRO, MIN",16,25,22.36
Anshul Kamboj,"MIN, CSK",14,21,25.24
Rashid Khan,"SUN, GTI",17,21,24.57
Eshan Malinga,SUN,15,20,25.35
Mohammed Siraj,"SUN, RCB, GTI",17,19,29.58
Rasikh Salam,"MIN, KKR, DDV, RCB",12,19,21.32
Kartik Tyagi,"RRO, SUN, GTI, KKR",14,18,27.67
J O Holder,"CSK, SUN, KKR, LSG, RRO, GTI",11,17,17.06
Prince Yadav,LSG,14,16,28.69
M Prasidh Krishna,"KKR, RRO, GTI",12,16,25.44
J R Hazlewood,"CSK, RCB",13,15,32.93
A M Ghazanfar,MIN,11,15,25.93
S P Narine,KKR,13,15,22.6
Sakib Hussain,SUN,11,15,26.47
P P Hinge,SUN,7,14,21.79
J Overton,CSK,10,14,17.79
Arshdeep Singh,KXI,14,14,38.64
K H Pandya,"MIN, LSG, RCB",16,14,30.36
B Sharma,RRO,13,14,32.14
N Burger,RRO,13,14,31.43
L Ngidi,"CSK, RCB, DDV",12,13,26.15
Noor Ahmad,"GTI, CSK",14,13,32.92
Mohammed Shami,"KKR, DDV, KXI, GTI, SUN, LSG",13,12,38.25
Y S Chahal,"MIN, RCB, RRO, KXI",14,12,32.08
C Bosch,MIN,6,12,16.25
S N Thakur,"KXI, RPS, CSK, DDV, KKR, LSG, MIN",9,12,22.5
Mohsin Khan,LSG,7,11,20.73
Ravi Bishnoi,"KXI, LSG, RRO",9,11,23.36
M A Starc,"RCB, KKR, DDV",6,11,20.36
V G Arora,"KXI, KKR",11,11,35.45
C V Varun,"KXI, KKR",11,11,32.73
A R Patel,"KXI, DDV",14,11,32.73
Kuldeep Yadav,"KKR, DDV",12,10,38.1
R A Jadeja,"RRO, KTK, CSK, GUJ",14,10,27.7
J A Duffy,RCB,6,9,29.22
S Sharma,"KKR, RCB",12,9,41.78
A S Roy,"MIN, KKR",14,9,29
M Jansen,"MIN, SUN, KXI",13,9,53.67
Vijaykumar Vyshak,"RCB, KXI",10,9,36.67
S Kumar,SUN,13,9,41.67
Y R Punja,RRO,8,9,31
P J Cummins,"KKR, DDV, SUN",8,8,38.38
H S Dubey,SUN,8,8,28.5
A J Hosein,"SUN, CSK",7,8,24.75
N K Reddy,SUN,14,8,40.38
D L Chahar,"RPS, CSK, MIN",8,8,33.13
Mukesh Choudhary,CSK,8,8,31.13
R Shepherd,"SUN, LSG, MIN, RCB",15,7,42.57
C Green,"MIN, RCB, KKR",14,7,33.43
A Kumar,MIN,3,6,17
M Kumar,DDV,10,6,58.83
Avesh Khan,"RCB, DDV, LSG, RRO",7,6,45.5
M Siddharth,LSG,4,6,24.17
A Sharma,GTI,6,6,38
Arshad Khan,"MIN, LSG, GTI",8,6,28.67
S R Dubey,KKR,4,5,21.2
X C Bartlett,KXI,9,5,77.6
Digvesh Rathi,LSG,10,5,79.4
T Natarajan,"KXI, SUN, DDV",10,5,71.2
Shahbaz Ahmed,"RCB, SUN, LSG",5,5,26
Sandeep Sharma,"KXI, SUN, RRO",6,5,44.8
M J Santner,"CSK, MIN",4,5,25
Akash Singh,"RRO, CSK, LSG",2,4,20
J D Unadkat,"KKR, RCB, DDV, RPS, RRO, MIN, LSG, SUN",4,4,35
B Muzarabani,KKR,2,4,18.75
H H Pandya,"MIN, GTI",10,4,64.75
Shashank Singh,"SUN, KXI",12,4,22
Gurjapneet Singh,CSK,8,4,58.25
T U Deshpande,"DDV, CSK, RRO",7,4,68.75
J J Bumrah,MIN,13,4,102.5
M Tiwari,DDV,3,4,21.75
Azmatullah Omarzai,"GTI, KXI",3,3,34.33
A Singh,RCB,3,3,40.67
D A Payne,SUN,2,2,35
Sushant Mishra,RRO,2,2,33.5
Y Thakur,"LSG, KXI",1,2,27.5
M P Stoinis,"KXI, RCB, DDV, LSG",13,2,49
W G Jacks,"RCB, MIN",7,2,47
T A Boult,"SUN, KKR, DDV, MIN, RRO",5,2,94
R A Bawa,"KXI, MIN",3,2,25
Harpreet Brar,KXI,2,2,30
K K Ahmed,"SUN, DDV, CSK",5,2,73
Manav Suthar,GTI,4,2,34
R Parag,RRO,14,2,19
M J Henry,"KXI, LSG, CSK",3,2,65
K A Jamieson,"RCB, KXI, DDV",2,2,45
V Nigam,DDV,5,2,56.5
S H Johnson,"GTI, KKR, CSK",3,2,56
T M Head,"RCB, SUN",15,1,7
L H Ferguson,"RPS, KKR, GTI, RCB, KXI",3,1,141
D Ferreira,"RRO, DDV",15,1,41
S Dube,"RCB, RRO, CSK",13,1,64
B J Dwarshuis,KXI,1,1,51
R Ghosh,CSK,1,1,24
G F Linde,LSG,3,1,55
R S Kishore,GTI,3,1,46
L D Madushanka,SUN,1,1,36
Ramandeep Singh,"MIN, KKR",8,1,31
R S Sharma,MIN,6,1,130
D Shanaka,"GTI, RRO",7,1,60
A S Tendulkar,"MIN, LSG",1,1,36
Washington Sundar,"RPS, RCB, SUN, GTI",17,1,84
